TICKER,THEME,CLOSE,STEP2_SCORE,STEP3_SCORE,SIGNAL_TIER,ENTRY_SIGNAL,BREAKOUT_SIGNAL,RSI_14,BB_PCT_B,DRAWDOWN_CUR,DATE
000660.KS,AI_Semicon,1913000.0,60,99.50451530263298,NEUTRAL,0,0,40.64316523516199,0.0757755474751772,-0.3446385748544022,2026-07-15
005930.KS,AI_Semicon,263000.0,60,60.9016718869551,NEUTRAL,0,0,40.46082105160943,0.1086259403880831,-0.2744827586206896,2026-07-15
000660.KS,AI_Semicon,2082000.0,60,100.0,NEUTRAL,0,0,45.694190284500976,0.2367737623127307,-0.2867420349434738,2026-07-16
005930.KS,AI_Semicon,279500.0,60,69.43762063461925,NEUTRAL,0,0,44.87686542403376,0.2578559112627233,-0.2289655172413792,2026-07-16
005930.KS,AI_Semicon,255000.0,60,42.65494018986935,NEUTRAL,0,0,40.11865371917095,0.1155063095172693,-0.296551724137931,2026-07-17
000660.KS,AI_Semicon,1842000.0,60,90.59265041706576,NEUTRAL,0,0,40.43224996398836,0.1053147714642924,-0.3689619732785201,2026-07-17
005930.KS,AI_Semicon,255000.0,60,45.0537282710346,NEUTRAL,0,0,40.11865371493272,0.1155063095172639,-0.296551724137931,2026-07-20
000660.KS,AI_Semicon,1842000.0,60,90.59265041706576,NEUTRAL,0,0,40.4322499619599,0.1053147714642879,-0.3689619732785201,2026-07-20
005930.KS,AI_Semicon,244000.0,60,39.02996974506316,NEUTRAL,0,0,38.16221562517179,0.0844507018848548,-0.3268965517241379,2026-07-21
000660.KS,AI_Semicon,1764000.0,60,83.80738752743045,NEUTRAL,0,0,38.86578592059303,0.1006624285869713,-0.39568345323741,2026-07-21
005930.KS,AI_Semicon,259000.0,60,48.09947275817853,NEUTRAL,0,0,42.2947666019778,0.21908143645045822,-0.28551724137931034,2026-07-22
000660.KS,AI_Semicon,1836000.0,60,85.49493938666976,NEUTRAL,0,0,41.13297221256193,0.17853568621591898,-0.37101747173689614,2026-07-22
