TICKER,THEME_x,STEP2_SCORE,STEP2_PASS,THEME_y,WATCHLIST_UPDATED_AT
005930.KS,,60,0,AI_Semicon,2026-07-27
000660.KS,,60,0,AI_Semicon,2026-07-27
